time/episodes,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,lilac/loss,lilac/dec_loss,lilac/beta,lilac/kl,lilac/cp_cooldown,lilac/cp_kl,lilac/s_uncert,lilac/s_env,plugin/constraint/s_uncert,plugin/constraint/risk,lilac/cp_delta,lilac/risk,lilac/cp_flag,plugin/constraint/s_env,plugin/constraint/unsafe
30,1,5.975487833333333,1800,60.0,1328,0.04749661311507225,0.00019574424368329346,0.0072,6.5695648193359375,2.0,5.678938865661621,1.5019434690475464,0.0,1.5019434690475464,0.5187654750668909,0.01618947647511959,0.5187654750668909,1.0,0.0,1.0
31,1,5.875305677419355,1860,60.0,1373,,,,,1.0,3.697877883911133,0.47896498441696167,0.0,0.47896498441696167,0.5059867761806356,0.08337406814098358,0.5059867761806356,0.0,0.0,0.0
32,1,5.691702375,1920,60.0,1418,,,,,2.0,119.32586669921875,0.5492556095123291,0.0,0.5492556095123291,0.5068652636400415,0.002372028538957238,0.5068652636400415,1.0,0.0,1.0
33,1,5.869934696969698,1980,60.0,1463,,,,,2.0,77.01203918457031,0.6257261037826538,0.0,0.6257261037826538,0.5078209383583808,0.0032694812398403883,0.5078209383583808,1.0,0.0,1.0
34,1,6.316804029411765,2040,60.0,1508,0.5335124731063843,8.36931067169644e-05,0.008,66.67859649658203,2.0,64.39708709716797,0.7104523777961731,0.0,0.7104523777961731,0.5088797209976524,0.08073736727237701,0.5088797209976524,1.0,0.0,1.0
35,1,6.464396485714286,2100,60.0,1553,,,,,2.0,40.11296844482422,0.7977070808410645,0.0,0.7977070808410645,0.5099700168192076,0.007371591404080391,0.5099700168192076,1.0,0.0,1.0
36,1,6.577510694444445,2160,60.0,1597,,,,,2.0,35.41442108154297,0.892578125,0.0,0.892578125,0.5111553750740737,0.0064784931018948555,0.5111553750740737,1.0,0.0,1.0
37,1,6.555311405405406,2220,60.0,1641,0.41051363945007324,6.850739009678364e-05,0.0088,46.6414909362793,2.0,20.819469451904297,0.9809561967849731,0.0,0.9809561967849731,0.5122594948487351,0.09060459583997726,0.5122594948487351,1.0,0.0,1.0
38,1,6.535314842105263,2280,60.0,1687,,,,,2.0,20.25844955444336,1.0770360231399536,0.0,1.0770360231399536,0.513459697667694,0.009937722235918045,0.513459697667694,1.0,0.0,1.0
39,1,6.588498256410257,2340,60.0,1732,,,,,2.0,11.391332626342773,1.1532752513885498,0.0,1.1532752513885498,0.5144119474216929,0.01576441526412964,0.5144119474216929,1.0,0.0,1.0
40,1,6.616801675,2400,60.0,1775,0.15622025728225708,0.00022940743656363338,0.009600000000000001,16.249046325683594,2.0,12.526931762695312,1.240588903427124,0.0,1.240588903427124,0.5155023909610117,0.013705090619623661,0.5155023909610117,1.0,0.0,1.0
41,1,6.59575019512195,2460,60.0,1818,,,,,2.0,7.005535125732422,1.295904278755188,0.0,1.295904278755188,0.5161931384148234,0.10538345575332642,0.5161931384148234,1.0,0.0,1.0
42,1,6.620643523809524,2520,60.0,1862,,,,,2.0,8.521952629089355,1.3679581880569458,0.0,1.3679581880569458,0.5170928141312239,0.018814412876963615,0.5170928141312239,1.0,0.0,1.0
43,1,6.82355953488372,2580,60.0,1905,,,,,2.0,4.553232192993164,1.3955373764038086,0.0,1.3955373764038086,0.5174371429323591,0.031485237181186676,0.5174371429323591,1.0,0.0,1.0
44,1,6.777241386363635,2640,60.0,1950,0.07003435492515564,0.00042119689169339836,0.0104,6.693572998046875,2.0,6.523413181304932,1.4524898529052734,0.0,1.4524898529052734,0.5181481472723753,0.13004659116268158,0.5181481472723753,1.0,0.0,1.0
45,1,6.819830044444443,2700,60.0,1995,,,,,1.0,3.147745132446289,0.458842009305954,0.0,0.458842009305954,0.5057352735598866,0.03701931610703468,0.5057352735598866,0.0,0.0,0.0
46,1,6.79607252173913,2760,60.0,2040,,,,,2.0,130.386474609375,0.5267353653907776,0.0,0.5267353653907776,0.5065838115135632,0.0034700294490903616,0.5065838115135632,1.0,0.0,1.0
47,1,6.6930828085106375,2820,60.0,2084,0.5229766368865967,9.48056040215306e-05,0.011200000000000002,46.68587875366211,2.0,67.50277709960938,0.5985766053199768,0.0,0.5985766053199768,0.5074816491103304,0.13097447156906128,0.5074816491103304,1.0,0.0,1.0
48,1,6.71310125,2880,60.0,2129,,,,,2.0,70.95843505859375,0.6808702349662781,0.0,0.6808702349662781,0.5085100560512497,0.005861714016646147,0.5085100560512497,1.0,0.0,1.0
49,1,6.67354006122449,2940,60.0,2172,,,,,2.0,34.9091911315918,0.7614302039146423,0.0,0.7614302039146423,0.5095167280829264,0.010369986295700073,0.5095167280829264,1.0,0.0,1.0
50,1,6.67417326,3000,60.0,2215,0.6393023133277893,0.0005355635075829923,0.012,53.23056411743164,2.0,39.55184555053711,0.8545793890953064,0.0,0.8545793890953064,0.5106806173885046,0.00953050795942545,0.5106806173885046,1.0,0.0,1.0
