time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,lilac/kl,lilac/beta,lilac/dec_loss,lilac/loss,plugin/constraint/unsafe,lilac/cp_cooldown,plugin/constraint/s_env,lilac/cp_flag,lilac/s_env,lilac/cp_delta,lilac/risk,plugin/constraint/s_uncert,lilac/cp_kl,plugin/constraint/risk,lilac/s_uncert
2,1440,481,60.0,5.751867958333334,24,56.4118537902832,0.005600000000000001,0.0030777810607105494,0.31898415088653564,1.0,2.0,0.0,1.0,0.0,0.19565260410308838,0.5118254003356832,0.9462084770202637,30.570363998413086,0.5118254003356832,0.9462084770202637
2,1500,500,60.0,5.981348800000001,25,,,,,1.0,2.0,0.0,1.0,0.0,0.010982661508023739,0.5130070539652847,1.0407991409301758,21.247150421142578,0.5130070539652847,1.0407991409301758
3,1560,519,60.0,5.935423923076924,26,,,,,1.0,2.0,0.0,1.0,0.0,0.007540970109403133,0.5141957224148631,1.1359630823135376,17.448101043701172,0.5141957224148631,1.1359630823135376
2,1620,542,60.0,5.857164037037038,27,23.088537216186523,0.0064,0.005321831908077002,0.15308846533298492,1.0,2.0,0.0,1.0,0.0,0.08011475205421448,0.5152391055313575,1.2195061445236206,12.077877044677734,0.5152391055313575,1.2195061445236206
2,1680,564,60.0,5.750360571428573,28,,,,,1.0,2.0,0.0,1.0,0.0,0.012612832710146904,0.5162694070363365,1.3020122051239014,10.694381713867188,0.5162694070363365,1.3020122051239014
2,1740,584,60.0,5.619505241379311,29,,,,,1.0,2.0,0.0,1.0,0.0,0.013812467455863953,0.5170686071652636,1.366019368171692,7.5535688400268555,0.5170686071652636,1.366019368171692
2,1800,607,60.0,5.849971200000001,30,9.395881652832031,0.0072,0.002999837277457118,0.07065018266439438,1.0,2.0,0.0,1.0,0.0,0.015210858546197414,0.5178673732316856,1.429998755455017,7.257698059082031,0.5178673732316856,1.429998755455017
2,1860,633,60.0,5.877750741935484,31,,,,,1.0,2.0,0.0,1.0,0.0,0.08919782936573029,0.5183861940432436,1.4715590476989746,5.3078718185424805,0.5183861940432436,1.4715590476989746
2,1920,656,60.0,5.84605996875,32,,,,,1.0,2.0,0.0,1.0,0.0,0.019139505922794342,0.5189549579550774,1.5171236991882324,5.474660873413086,0.5189549579550774,1.5171236991882324
2,1980,675,60.0,5.814404787878787,33,,,,,1.0,2.0,0.0,1.0,0.0,0.034807220101356506,0.5192296903350314,1.5391343832015991,4.119154930114746,0.5192296903350314,1.5391343832015991
2,2040,696,60.0,5.699602029411764,34,4.967228889465332,0.008,0.006273220758885145,0.046011053025722504,1.0,2.0,0.0,1.0,0.0,0.13492514193058014,0.5196226627131533,1.5706197023391724,4.562036514282227,0.5196226627131533,1.5706197023391724
2,2100,718,60.0,5.618751714285714,35,,,,,0.0,1.0,0.0,0.0,0.0,0.014457255601882935,0.506251790133703,0.5001692771911621,3.5854597091674805,0.506251790133703,0.5001692771911621
2,2160,737,60.0,5.64865411111111,36,,,,,1.0,2.0,0.0,1.0,0.0,0.0024720088113099337,0.5071604288508083,0.5728734731674194,108.85923767089844,0.5071604288508083,0.5728734731674194
2,2220,756,60.0,5.625202702702703,37,39.00224685668945,0.0088,0.0029691660311073065,0.3461889326572418,1.0,2.0,0.0,1.0,0.0,0.08475003391504288,0.5081382529869126,0.651117742061615,68.18386840820312,0.5081382529869126,0.651117742061615
2,2280,776,60.0,5.628967210526316,38,,,,,1.0,2.0,0.0,1.0,0.0,0.004305839538574219,0.5092227316215062,0.7379022240638733,58.8968505859375,0.5092227316215062,0.7379022240638733
2,2340,795,60.0,5.805921230769231,39,,,,,1.0,2.0,0.0,1.0,0.0,0.007365787401795387,0.5103332080003025,0.8267743587493896,37.12214660644531,0.5103332080003025,0.8267743587493896
2,2400,814,60.0,5.8284124,40,49.17109680175781,0.009600000000000001,0.0019400391029193997,0.4739826023578644,1.0,2.0,0.0,1.0,0.0,0.006922788918018341,0.5115313969991764,0.922675371170044,32.48152160644531,0.5115313969991764,0.922675371170044
2,2460,833,60.0,5.89687812195122,41,,,,,1.0,2.0,0.0,1.0,0.0,0.08381882309913635,0.5126805824453775,1.0146641731262207,21.103313446044922,0.5126805824453775,1.0146641731262207
2,2520,853,60.0,6.007072714285714,42,,,,,1.0,2.0,0.0,1.0,0.0,0.009689589031040668,0.5138718864270717,1.11003577709198,18.507917404174805,0.5138718864270717,1.11003577709198
2,2580,872,60.0,6.089890883720931,43,,,,,1.0,2.0,0.0,1.0,0.0,0.01085597649216652,0.5149119948725759,1.193313479423523,12.336487770080566,0.5149119948725759,1.193313479423523
2,2640,892,60.0,6.038901477272728,44,17.31590461730957,0.0104,0.0006560636102221906,0.18074147403240204,1.0,2.0,0.0,1.0,0.0,0.06485679000616074,0.5159602448156292,1.27725350856781,11.271034240722656,0.5159602448156292,1.27725350856781
2,2700,912,60.0,6.012042933333334,45,,,,,1.0,2.0,0.0,1.0,0.0,0.03899393230676651,0.516604408643633,1.3288413286209106,6.5668134689331055,0.516604408643633,1.3288413286209106
2,2760,933,60.0,5.9437341956521745,46,,,,,1.0,2.0,0.0,1.0,0.0,0.018405301496386528,0.5174526465764262,1.396779179573059,7.867736339569092,0.5174526465764262,1.396779179573059
2,2820,952,60.0,5.960128914893618,47,8.568528175354004,0.011200000000000002,0.002905256114900112,0.09887276589870453,1.0,2.0,0.0,1.0,0.0,0.10118454694747925,0.5178581031449994,1.4292562007904053,4.78148078918457,0.5178581031449994,1.4292562007904053
2,2880,972,60.0,5.855933104166667,48,,,,,1.0,2.0,0.0,1.0,0.0,0.020941823720932007,0.5185018170295783,1.4808214902877808,6.004168510437012,0.5185018170295783,1.4808214902877808
2,2940,992,60.0,5.736424265306122,49,,,,,0.0,1.0,0.0,0.0,0.0,0.030113423243165016,0.5058873305411866,0.47100821137428284,3.5262436866760254,0.5058873305411866,0.47100821137428284
2,3000,1012,60.0,5.8710926,50,34.44491958618164,0.012,0.00070294359466061,0.41404199600219727,1.0,2.0,0.0,1.0,0.0,0.0029983932618051767,0.5067538742831537,0.5403428077697754,123.46778869628906,0.5067538742831537,0.5403428077697754
