rollout/ep_rew_mean,time/fps,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,lilac/beta,lilac/kl,lilac/loss,lilac/dec_loss,lilac/cp_delta,lilac/cp_cooldown,lilac/s_env,lilac/risk,lilac/s_uncert,lilac/cp_flag,lilac/cp_kl
5.632184642857142,3,840,14,60.0,249,0.0032,8.872474670410156,0.03236803784966469,0.00397612014785409,0.09958422183990479,2.0,0.0,0.5184952843738749,1.4802981615066528,1.0,6.193079948425293
5.4478168,3,900,15,60.0,256,,,,,0.01880665309727192,2.0,0.0,0.5189910427277231,1.5200146436691284,1.0,5.079813003540039
6.244192312499999,3,960,16,60.0,263,,,,,0.01185353472828865,2.0,0.0,0.5194470319476369,1.55654776096344,1.0,4.827838897705078
6.327482235294117,3,1020,17,60.0,271,0.004,5.366910457611084,0.022235093638300896,0.0007674501393921673,0.06297170370817184,2.0,0.0,0.5197378487737175,1.5798488855361938,1.0,4.142991542816162
6.350642222222222,3,1080,18,60.0,278,,,,,0.014771020971238613,2.0,0.0,0.5200269919236021,1.603016972541809,1.0,4.097927093505859
6.218068736842104,3,1140,19,60.0,286,,,,,0.024685267359018326,1.0,0.0,0.5063755163499959,0.510068953037262,0.0,3.542205810546875
6.4352734499999995,4,1200,20,60.0,293,0.0048000000000000004,29.0466365814209,0.14206597208976746,0.002642114879563451,0.0019661406986415386,2.0,0.0,0.5072980830716441,0.5838881134986877,1.0,104.4034194946289
7.001849095238095,4,1260,21,60.0,300,,,,,0.06344041228294373,2.0,0.0,0.5083038331265473,0.6643677353858948,1.0,71.9765396118164
6.857638909090909,4,1320,22,60.0,308,,,,,0.0032713343389332294,2.0,0.0,0.5094015088532934,0.7522093653678894,1.0,56.27066421508789
6.726216391304348,4,1380,23,60.0,315,,,,,0.007109647151082754,2.0,0.0,0.5105527605123672,0.8443462252616882,1.0,39.6584587097168
6.606299541666666,4,1440,24,60.0,322,0.005600000000000001,55.96855545043945,0.31486254930496216,0.0014386456459760666,0.09999893605709076,2.0,0.0,0.5117573279873714,0.9407596588134766,1.0,30.75958251953125
6.34204756,4,1500,25,60.0,331,,,,,0.013334127143025398,2.0,0.0,0.5129291390672788,1.0345617532730103,1.0,21.16737937927246
6.355631807692307,4,1560,26,60.0,338,,,,,0.008165900595486164,2.0,0.0,0.5141151836580988,1.1295148134231567,1.0,17.567779541015625
6.368521777777778,4,1620,27,60.0,385,0.0064,23.164915084838867,0.1490558385848999,0.0008003797265700996,0.06708528101444244,2.0,0.0,0.5151818159496628,1.2149187326431274,1.0,12.486015319824219
6.243682285714286,3,1680,28,60.0,429,,,,,0.010455549694597721,2.0,0.0,0.5162096940855121,1.2972301244735718,1.0,10.691707611083984
6.391220137931034,3,1740,29,60.0,473,,,,,0.023777903988957405,2.0,0.0,0.516970622015159,1.3581714630126953,1.0,7.29625940322876
6.403343899999999,3,1800,30,60.0,516,0.0072,9.445694923400879,0.0699189156293869,0.0019099086057394743,0.013695171102881432,2.0,0.0,0.5177733740731396,1.4224692583084106,1.0,7.308798789978027
6.382242677419354,3,1860,31,60.0,560,,,,,0.08299698680639267,2.0,0.0,0.5182312318404868,1.459145426750183,1.0,5.010717868804932
6.2720833124999995,3,1920,32,60.0,606,,,,,0.01757277175784111,2.0,0.0,0.5188167742612889,1.5060532093048096,1.0,5.576586723327637
6.314594606060606,3,1980,33,60.0,651,,,,,0.01922866329550743,2.0,0.0,0.5191488724015315,1.5326594114303589,1.0,4.3263726234436035
6.663325029411764,2,2040,34,60.0,694,0.008,4.971225738525391,0.040077198296785355,0.0003073941625189036,0.07592454552650452,2.0,0.0,0.5195460870790337,1.5644842386245728,1.0,4.563525199890137
6.801107571428571,2,2100,35,60.0,738,,,,,0.029018323868513107,1.0,0.0,0.5062093086777892,0.4967702329158783,0.0,3.4228320121765137
6.798431305555555,2,2160,36,60.0,783,,,,,0.0025916025042533875,2.0,0.0,0.5071126073576875,0.5690469741821289,1.0,109.68389892578125
6.770261189189188,2,2220,37,60.0,827,0.0088,39.223419189453125,0.34537121653556824,0.000205117161385715,0.0852581188082695,2.0,0.0,0.5080898727202567,0.6472463011741638,1.0,70.58285522460938
6.744608052631579,2,2280,38,60.0,872,,,,,0.004286352079361677,2.0,0.0,0.5091693528630121,0.7336304783821106,1.0,59.25536346435547
6.7924249743589735,2,2340,39,60.0,916,,,,,0.009174151346087456,2.0,0.0,0.5102692331892629,0.821654200553894,1.0,36.69357681274414
