timestep,clearance,near_miss,violation,shield_used,shield_reason,ctx_id,ctx_tuple,tau_near_miss,tau_violation,eps,inflate,adj_risk,adj_unsafe,adj_s_env,adj_s_agent,adj_eps_override,budget_bt,budget_rem,budget_filtered,budget_risk,budget_C,budget_T,calib_resid
51,981.2146636581421,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,46.399871826171875,40.399871826171875,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,40.45907511711118
52,1022.9583488082885,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,46.459075927734375,40.459075927734375,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,22.69345808029186
53,1043.6188621139527,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,46.44847869873047,40.44847869873047,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,-8.051233577728226
54,1035.380743370056,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,46.43788146972656,40.43788146972656,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,30.46190357208252
55,1063.7737639999389,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,46.42728042602539,40.42728042602539,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,8.800841140747025
56,1071.4609754180906,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,46.416683197021484,40.416683197021484,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,11.911648368835358
57,1085.6364699935912,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,46.40608596801758,40.40608596801758,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,10.174296712875275
58,1098.134006462097,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,46.39548873901367,40.39548873901367,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,34.775155830383255
59,1132.8479203796385,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,46.384891510009766,40.384891510009766,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,11.504029226303146
60,1146.4347535705565,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,46.374290466308594,40.374290466308594,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,17.692107239405686
61,-9.800882339477539,0,1,1,fallback,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,46.36369323730469,40.36369323730469,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,26.76280937194824
62,19.361927032470703,0,1,1,fallback,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,46.35309600830078,40.35309600830078,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,13.154691314697263
63,34.91661834716797,0,1,1,fallback,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,46.19429016113281,40.19429016113281,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,15.32824096679687
64,52.644859313964844,1,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,46.03548812866211,40.03548812866211,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,27.5144542694092
65,81.4751403808594,1,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.87668228149414,39.87668228149414,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,33.175023317337065
66,115.66617603302007,1,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.7178840637207,39.7178840637207,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,19.629844474792463
67,135.03638610839846,1,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.55908203125,39.55908203125,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,32.24587535858154
68,166.99197692871098,1,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.40027618408203,39.40027618408203,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,34.97082357406617
69,202.38089809417733,1,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.241477966308594,39.241477966308594,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,36.61938457489012
70,238.39305171966558,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.082672119140625,39.082672119140625,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,30.820050477981567
71,269.839961051941,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,44.92387008666992,38.92387008666992,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,38.43586130142211
72,307.82498607635506,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,44.765071868896484,38.765071868896484,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,-0.8039509773254849
73,308.7227621078491,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,44.73215103149414,38.73215103149414,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,19.03706645965576
74,325.7920255661011,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,44.69922637939453,38.69922637939453,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,10.552695369720425
75,334.79573078155516,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,44.66630554199219,38.66630554199219,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,39.36654720306399
76,372.5792190551758,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.12595748901367,39.12595748901367,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,42.30002765655519
77,415.5270252227784,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.85982131958008,39.85982131958008,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,39.716113853454544
78,454.5105890274048,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.970909118652344,39.970909118652344,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,10.867357444763172
79,464.4052164077759,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.90720748901367,39.90720748901367,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,19.81898784637451
80,486.01548213958745,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.843509674072266,39.843509674072266,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,4.708832645416237
81,492.8388868331909,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.77981185913086,39.77981185913086,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,18.41599617004391
82,511.5919675827026,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.71611404418945,39.71611404418945,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,16.014025497436478
83,525.3189737319946,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.681156158447266,39.681156158447266,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,23.938345432281494
84,550.1748037338257,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.64619827270508,39.64619827270508,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,39.853690433502265
85,588.2855172157288,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.812416076660156,39.812416076660156,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,13.343990612029984
86,601.5781167030334,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.79866027832031,39.79866027832031,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,23.856542396545365
87,623.0590556144714,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.78490447998047,39.78490447998047,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,33.571927547454834
88,658.1539637565613,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.77114486694336,39.77114486694336,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,34.11094455719001
89,690.7656985282898,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.75738525390625,39.75738525390625,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,15.65690383911135
90,704.2222170829773,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.743629455566406,39.743629455566406,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,16.21985864639271
91,719.2504828453062,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.7298698425293,39.7298698425293,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,26.771506050109906
92,747.2356846122741,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.71611404418945,39.71611404418945,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,49.52893085479741
93,795.948318698883,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.839935302734375,39.839935302734375,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,29.457412433624313
94,827.0038770942688,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.826175689697266,39.826175689697266,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,29.211981296539307
95,854.2466305999756,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.812416076660156,39.812416076660156,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,-15.705096340179466
96,838.1655217437744,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.79866027832031,39.79866027832031,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,-0.19915704727179673
97,837.8414578704834,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.78490447998047,39.78490447998047,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,18.81983256340027
98,858.6343993453979,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.77114486694336,39.77114486694336,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,48.68041963577264
99,906.9721202163696,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,46.003509521484375,40.003509521484375,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,22.122983741760322
100,927.7863879470825,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.95357131958008,39.95357131958008,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,-9.772411441802888
101,917.5826003341675,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.903629302978516,39.903629302978516,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,9.220681047439598
102,928.3032443313599,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.85369110107422,39.85369110107422,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,14.698496150970414
103,944.4652249603271,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.83993148803711,39.83993148803711,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,-14.770422432200121
104,929.2040544087728,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.826175689697266,39.826175689697266,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,19.627828640238477
105,950.885009765625,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,45.812416076660156,39.812416076660156,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,46.37304382324214
106,996.0863857269287,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,46.1533317565918,40.1533317565918,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,53.098328351974374
107,1049.7219937324523,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,46.40608596801758,40.40608596801758,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,33.718520355224655
108,1082.3562859535218,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,46.39548873901367,40.39548873901367,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,15.797595691680954
109,1098.6574414253237,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,46.3848876953125,40.3848876953125,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,24.945316600799742
110,1123.7357163429263,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,46.374290466308594,40.374290466308594,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,-4.331311511993363
111,1118.1280026435854,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,46.36369323730469,40.36369323730469,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,14.69500920995074
112,1134.611477353414,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,46.35309600830078,40.35309600830078,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,20.085084486007645
113,1156.7589958928427,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,46.30315399169922,40.30315399169922,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,41.637816143035934
114,1197.7532761357627,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,46.4378776550293,40.4378776550293,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,27.957153987884567
115,1227.3254217885337,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,46.42728042602539,40.42728042602539,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,2.8170713268277723
116,1231.0160096272787,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,46.416683197021484,40.416683197021484,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,49.9243112459817
117,1281.130615234375,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,46.639976501464844,40.639976501464844,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,5.861098480224655
118,1285.601318359375,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,46.60379409790039,40.60379409790039,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,28.329181671142578
119,1313.552459335327,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,46.5676155090332,40.5676155090332,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,38.15459527969347
120,1350.2279981613158,0,0,0,original_ok,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,46.531436920166016,40.531436920166016,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,25.25998086929326
121,-9.716629028320312,0,1,1,fallback,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,46.49525451660156,40.49525451660156,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,24.746820068359373
122,17.430191040039062,0,1,1,fallback,14,"('med', 'normal', 'dropout')",221.5721397781371,40.72156829833985,46.459075927734375,40.459075927734375,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,8.940538024902342
