time/fps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,lilac/cp_kl,plugin/constraint/s_uncert,lilac/risk,plugin/constraint/unsafe,plugin/constraint/s_env,lilac/s_env,plugin/constraint/risk,lilac/cp_delta,lilac/cp_flag,lilac/cp_cooldown,lilac/s_uncert,lilac/kl,lilac/dec_loss,lilac/beta,lilac/loss
1,11,12,0.9564214545454544,2.0,22,11.209548950195312,1.3057589530944824,0.5163161916562271,1.0,0.0,0.0,0.5163161916562271,0.004377154633402824,1.0,2.0,1.3057589530944824,,,,
1,12,13,0.9563493333333332,2.0,24,8.955954551696777,1.3821494579315186,0.5172699955391707,1.0,0.0,0.0,0.5172699955391707,0.003949509933590889,1.0,2.0,1.3821494579315186,,,,
1,13,14,0.9565324615384613,2.0,26,7.351446151733398,1.4481675624847412,0.5180941896091545,1.0,0.0,0.0,0.5180941896091545,0.003693111939355731,1.0,2.0,1.4481675624847412,,,,
1,14,14,1.0253969285714284,2.0714285714285716,29,6.222489356994629,1.5039016008377075,0.5187899171922163,1.0,0.0,0.0,0.5187899171922163,0.003927045501768589,1.0,2.0,1.5039016008377075,,,,
2,15,15,1.0207408666666664,2.066666666666667,31,5.309656620025635,1.5482863187789917,0.519343919312014,1.0,0.0,0.0,0.519343919312014,0.003845012979581952,1.0,2.0,1.5482863187789917,,,,
2,16,16,1.196031875,2.25,36,4.698376655578613,1.583171010017395,0.5197793104815946,1.0,0.0,0.0,0.5197793104815946,0.008374933153390884,1.0,2.0,1.583171010017395,,,,
2,17,17,1.2944912352941178,2.3529411764705883,40,4.277072906494141,1.6103698015213013,0.5201187541554082,1.0,0.0,0.0,0.5201187541554082,0.007172144949436188,1.0,2.0,1.6103698015213013,,,,
2,18,17,1.382010666666667,2.4444444444444446,44,3.9790334701538086,0.5159014463424683,0.5064484105265367,0.0,0.0,0.0,0.5064484105265367,0.004288927186280489,0.0,1.0,0.5159014463424683,,,,
2,19,19,1.6626567368421055,2.736842105263158,52,106.3916244506836,0.590718150138855,0.5073834401270043,1.0,0.0,0.0,0.5073834401270043,0.0014707280788570642,1.0,2.0,0.590718150138855,,,,
2,20,20,1.9147620000000003,3.0,60,77.9342041015625,0.6731060743331909,0.5084130318384532,1.0,0.0,0.0,0.5084130318384532,0.0022545012179762125,1.0,2.0,0.6731060743331909,,,,
2,21,20,1.8235828571428574,2.9047619047619047,61,56.62926483154297,0.7622197866439819,0.5095265942877841,1.0,0.0,0.0,0.5095265942877841,0.001323104603216052,1.0,2.0,0.7622197866439819,,,,
2,22,21,1.7406927272727275,2.8181818181818183,62,41.675418853759766,0.8567764759063721,0.5107080684097082,1.0,0.0,0.0,0.5107080684097082,0.0011864169500768185,1.0,2.0,0.8567764759063721,,,,
2,23,22,1.7897861304347829,2.869565217391304,66,30.7352352142334,0.9546080827713013,0.5119303361547893,1.0,0.0,0.0,0.5119303361547893,0.0019945031963288784,1.0,2.0,0.9546080827713013,,,,
2,24,22,1.7152117083333334,2.7916666666666665,67,23.120487213134766,1.053390622138977,0.5131643396736886,1.0,0.0,0.0,0.5131643396736886,0.0024206074886024,1.0,2.0,1.053390622138977,,,,
2,25,22,1.6466032400000001,2.72,68,17.477981567382812,1.1498823165893555,0.5143695708695418,1.0,0.0,0.0,0.5143695708695418,0.002120227087289095,1.0,2.0,1.1498823165893555,,,,
3,26,23,1.6200245,2.6923076923076925,70,13.431209564208984,1.2410370111465454,0.5155079869210057,1.0,0.0,0.0,0.5155079869210057,0.0018752304604277015,1.0,2.0,1.2410370111465454,,,,
2,27,30,1.7019401111111112,2.7777777777777777,75,10.572945594787598,1.3244670629501343,0.5165497904252633,1.0,0.0,0.0,0.5165497904252633,0.004821749869734049,1.0,2.0,1.3244670629501343,,,,
2,28,32,1.675170142857143,2.75,77,8.460273742675781,1.39787757396698,0.5174663597649377,1.0,0.0,0.0,0.5174663597649377,0.002239877125248313,1.0,2.0,1.39787757396698,,,,
2,29,34,1.6503558620689658,2.7241379310344827,79,7.014172554016113,1.4609686136245728,0.5182539913392323,1.0,0.0,0.0,0.5182539913392323,0.0038893430028110743,1.0,2.0,1.4609686136245728,,,,
2,30,36,1.6270900333333338,2.7,81,5.924445152282715,1.513109803199768,0.5189048561725156,1.0,0.0,0.0,0.5189048561725156,0.0032668113708496094,1.0,2.0,1.513109803199768,,,,
2,31,41,1.6671787741935489,2.7419354838709675,85,5.180852890014648,1.5556161403656006,0.5194354042959752,1.0,0.0,0.0,0.5194354042959752,0.005153517704457045,1.0,2.0,1.5556161403656006,,,,
1,32,43,1.64484134375,2.71875,87,4.634027481079102,1.5894622802734375,0.5198578278067341,1.0,0.0,0.0,0.5198578278067341,0.0038722227327525616,1.0,2.0,1.5894622802734375,,,,
