timestep,clearance,violation,near_miss,shield_used,shield_reason,eps,inflate,ctx_id,crashed,speed,calib_resid,adj_risk,adj_unsafe,adj_s_env,adj_s_agent,adj_eps_override,budget_bt,budget_rem,budget_filtered,budget_risk
76,12.477123260498047,0,0,1,fallback,32.524505615234375,32.024505615234375,26,0,25.0,26.182180023193357,0.0,0,0.0,0.0,,,,0,
77,26.353572845458984,0,0,1,fallback,32.4373722076416,31.9373722076416,26,0,25.0,11.476449584960935,0.0,0,0.0,0.0,,,,0,
78,8.977298736572266,0,0,1,fallback,32.35023880004883,31.850238800048828,26,0,25.0,25.1235481262207,0.0,0,0.0,0.0,,,,0,
79,22.00450897216797,0,0,1,fallback,32.26309776306152,31.763097763061523,26,0,25.0,10.627210235595701,0.0,0,0.0,0.0,,,,0,
80,10.616191864013672,0,0,1,fallback,32.17596435546875,31.67596435546875,26,0,25.0,25.637784576416013,0.0,0,0.0,0.0,,,,0,
81,24.317340850830078,0,0,1,fallback,32.08883094787598,31.588830947875977,26,0,25.0,11.301148986816404,0.0,0,0.0,0.0,,,,0,
82,11.598548889160156,0,0,1,fallback,32.0016975402832,31.501697540283203,26,0,25.0,28.12382659912109,0.0,0,0.0,0.0,,,,0,
83,27.697689056396484,0,0,1,fallback,31.69401741027832,31.19401741027832,26,0,25.0,13.699140167236326,0.0,0,0.0,0.0,,,,0,
84,43.574195861816406,0,0,1,fallback,31.38631248474121,30.88631248474121,26,0,25.0,13.47650680541992,0.0,0,0.0,0.0,,,,0,
85,43.95756988525391,0,0,0,original_ok,31.078632354736328,30.578632354736328,26,0,28.81307220458984,0.43476514816284606,0.0,0,0.0,0.0,,,,0,
86,11.215137481689453,0,0,1,fallback,30.770950317382812,30.270950317382812,26,0,25.0,25.96676502227783,0.0,0,0.0,0.0,,,,0,
87,24.904560089111328,0,0,1,fallback,30.46327018737793,29.96327018737793,26,0,25.0,11.289422607421873,0.0,0,0.0,0.0,,,,0,
88,10.261775970458984,0,0,1,fallback,30.155590057373047,29.655590057373047,23,0,25.0,25.731664276123045,0.0,0,0.0,0.0,,,,0,
89,22.583396911621094,0,0,1,fallback,29.847885131835938,29.347885131835938,23,0,25.0,9.921620941162107,0.0,0,0.0,0.0,,,,0,
90,13.294795989990234,0,0,1,fallback,29.540205001831055,29.040205001831055,23,0,25.0,27.455947494506834,0.0,0,0.0,0.0,,,,0,
91,11.591453552246094,0,0,1,fallback,29.23252296447754,28.73252296447754,23,0,25.0,25.41989288330078,0.0,0,0.0,0.0,,,,0,
92,25.004840850830078,0,0,1,fallback,28.924842834472656,28.424842834472656,23,0,25.0,11.013387298583982,0.0,0,0.0,0.0,,,,0,
93,10.760696411132812,0,0,1,fallback,28.89474105834961,28.39474105834961,23,0,25.0,25.794885253906248,0.0,0,0.0,0.0,,,,0,
94,20.233592987060547,0,0,1,fallback,28.86463737487793,28.36463737487793,23,0,25.0,7.072896575927732,0.0,0,0.0,0.0,,,,0,
